RegionCode,SubRegion,SiteName,Latitude,Longitude,Depth ,Location,InstrumentType,ProjectCode,Tag #,Fate,Deployment,Recovery,Duration,Species,BlockDimensions,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion ,PostCTAccretionRate,Notes
FLK,lower,LKI2,24.57899,-81.49734,6.5,FLK_lower_8,BMU,BMUQuest,3584,SUCCESSFULLY RECOVERED,4/19/16,10/18/22,6.501369863,O. faveolata,5x2x1,17.2898,34.6655,11.60950184,1.489280095,1.50189053,41.4307,37.4618,9.321126938,1.56658615,0.871361733,0.134027405,1.41701317,0.217956092,3.325767517,0.511548733,
FLK,lower,LKO2,24.55326,-81.43753,7,FLK_lower_7,BMU,BMUQuest,3585,SUCCESSFULLY RECOVERED,4/19/16,3/6/20,3.882191781,O. faveolata,5x2x1,12.6551,29.7335,11.09343624,1.140773672,1.156643789,32.985,34.5165,13.73830891,1.193756263,0.046374321,0.011945397,-2.691246991,-0.693228759,3.358657837,0.86514475,
FLK,upper,UKO1,24.9025,-80.53104,6.5,FLK_upper_14,BMU,BMUQuest,3586,Not Recovered,4/19/16,not recovered,NA,O. faveolata,5x2x1,12.0719,29.8163,11.09545326,1.088004223,1.106264082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
FLK,upper,UKI2,24.95375,-80.54806,3,FLK_upper_3,BMU,BMUQuest,3587,SUCCESSFULLY RECOVERED,4/27/16,1/7/20,3.698630137,O. faveolata,5x2x1,13.2635,30.7634,11.19888783,1.184358679,1.199121189,26.1307,25.3031,5.597233772,1.3693607,0.849715233,0.229737822,4.751938825,1.28478346,0.132213593,0.035746638,
FLK,upper,UKO3,24.88266,-80.56088,13,FLK_upper_13,BMU,BMUQuest,3588,SUCCESSFULLY RECOVERED,4/20/16,1/7/20,3.717808219,O. faveolata,5x2x1,14.6555,32.5457,11.4311285,1.282069395,1.316925715,33.0033,32.1648,9.272872925,1.42903031,0.372239113,0.100123269,1.786016462,0.480394995,0.972719193,0.261637808,
FLK,middle,MKO2,24.63388,-81.08344,5,FLK_middle_5,BMU,BMUQuest,3589,SUCCESSFULLY RECOVERED,4/20/16,1/25/20,3.767123288,O. faveolata,5x2x1,16.9865,33.9282,11.17518139,1.52002007,1.49056873,39.1697,37.7294,10.49145412,1.59194874,0.054717064,0.014524893,0.629010206,0.166973618,2.256660461,0.599040777,
FLK,upper,UKO1,24.9025,-80.53104,14,FLK_upper_14,BMU,BMUQuest,3590,SUCCESSFULLY RECOVERED,4/20/16,1/7/20,3.717808219,O. faveolata,5x2x1,15.6629,32.9268,11.53078651,1.358354869,1.35583385,36.12,35.0631,9.253458023,1.46809622,0.304621697,0.081935828,1.972706791,0.530610154,2.359176636,0.634561144,
FLK,middle,MKO2,24.63388,-81.08344,5,FLK_middle_5,BMU,BMUQuest,3591,Not Recovered,4/20/16,not recovered,NA,O. faveolata,5x2x1,17.1301,34.1425,10.90049744,1.571497089,1.55521835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
FLK,middle,MKO2,24.63388,-81.08344,5,FLK_middle_5,BMU,BMUQuest,3592,SUCCESSFULLY RECOVERED,4/20/16,1/25/20,3.767123288,O. faveolata,5x2x1,16.155,33.9222,11.16076183,1.447481834,1.45702872,39.6066,38.0368,10.06985378,1.57906245,0.037284851,0.009897433,1.053623199,0.279689067,2.817975998,0.748044538,
FLK,middle,MKO1,24.63127,-81.09255,6,FLK_middle_6,BMU,BMUQuest,3593,SUCCESSFULLY RECOVERED,4/20/16,1/25/20,3.767123288,O. faveolata,5x2x1,16.2559,33.8771,11.85775852,1.370908336,1.38857733,42.5281,41.3105,10.90095234,1.51844916,0.14658165,0.038910765,0.81022453,0.215077784,4.34292984,1.152850467,
FLK,upper,UKO3,24.88266,-80.56088,6.5,FLK_upper_13,BMU,BMUQuest,3594,SUCCESSFULLY RECOVERED,4/19/16,1/7/20,3.720547945,O. faveolata,5x2x1,16.8901,34.8306,11.97926044,1.409945137,1.41645581,30.2548,29.5014,7.263988495,1.53720341,1.393220901,0.37446659,3.322051044,0.892892954,0.466000557,0.125250518,
FLK,upper,UKI1 (Cheeca),24.89742,-80.61573,4,FLK_upper_4,BMU,BMUQuest,3595,SUCCESSFULLY RECOVERED,4/27/16,1/7/20,3.698630137,O. faveolata,5x2x1,17.4654,34.2129,11.48115921,1.521222699,1.49455005,40.2925,38.4877,10.31791306,1.58788097,0.062244415,0.016829046,1.101001735,0.297678247,2.915908813,0.788375346,
FLK,upper,UKO1,24.9025,-80.53104,14,FLK_upper_14,BMU,BMUQuest,3596,SUCCESSFULLY RECOVERED,4/27/16,1/7/20,3.698630137,O. faveolata,5x2x1,17.4956,33.694,11.61603355,1.506159562,1.48051344,33.6833,32.8059,7.876605034,1.613352,0.114274979,0.030896568,3.625153537,0.980134105,1.804186821,0.487798659,
FLK,upper,UKO1,24.9025,-80.53104,14,FLK_upper_14,BMU,BMUQuest,3597,SUCCESSFULLY RECOVERED,4/27/16,1/7/20,3.698630137,O. faveolata,5x2x1,16.0479,32.6794,10.43964672,1.53720719,1.52633327,34.9562,34.1729,8.411870956,1.64222997,0.153345108,0.041459974,1.874430656,0.506790511,2.040813446,0.551775487,
FLK,upper,UKI1 (Cheeca),24.89742,-80.61573,4,FLK_upper_4,BMU,BMUQuest,3598,SUCCESSFULLY RECOVERED,4/27/16,1/7/20,3.698630137,O. faveolata,5x2x1,17.3463,34.6678,11.9494257,1.451642986,1.47844522,38.2489,37.3377,9.916028023,1.62369612,0.244866371,0.066204611,1.788531306,0.483565872,2.559110641,0.691907692,
